scenario,repetition,experiment_id,total_energy_wh,mean_power_w,max_power_w,mean_efficiency_pct,capacity_factor,performance_ratio,iot_latency_ms,iot_packet_loss_pct,iot_delivery_rate_pct,iot_fault_detection_rate,traditional_data_availability_pct,traditional_energy_error_pct,traditional_fault_detection_rate,traditional_response_time_s,power_error_improvement_pct,energy_error_improvement_pct
dust_accumulation,0,5,2263.8445459940035,94.32685608308348,297.27698685230445,21.622720998069926,0.23581714020770872,2.0969796600104633,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,0.11394840513126271,0.0,3600,98.69429863840821,99.99999789985077
dust_accumulation,1,5,2265.7263120868156,94.40526300361732,298.7937603544865,27.451331300123254,0.2360131575090433,3.217573403108511,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,0.2525373370952049,0.0,3600,98.66803652431072,99.99999757499981
dust_accumulation,2,5,2259.4607716768714,94.14419881986964,294.2539518975543,30.445270703360418,0.2353604970496741,3.683504593371622,50.592351154311146,3.125,96.875,100.0,8.333333333333332,0.6756412183684158,0.0,3600,98.68140533967687,99.99999856118505
partial_shading,0,6,1300.115387007409,54.171474458642045,172.10692589725863,19.484892028493263,0.1354286861466051,1.9943500198588306,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,0.5321220996556691,0.0,3600,97.7289852808015,99.99999359883842
partial_shading,1,6,1301.887872527815,54.24532802199229,173.69657305877948,25.528770444148748,0.13561332005498072,3.0753325221481256,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,0.9487192263267188,0.0,3600,97.68393252235796,99.99999262341223
partial_shading,2,6,1296.1738058059973,54.00724190858322,169.96423346624334,26.825717828463965,0.13501810477145804,3.4023343331154243,50.592351154311146,3.125,96.875,100.0,8.333333333333332,1.3844963764104763,0.0,3600,97.71252698538883,99.99999560968429
sensor_failure,0,7,2254.042105550969,95.57775712583614,310.2866935637944,22.475499895435664,0.23894439281459035,2.1550905764444326,50.70388018303746,1.76678445229682,98.23321554770318,100.0,8.333333333333332,1.5774915304411525,0.0,3600,98.74768149586029,99.99999801060093
sensor_failure,1,7,2348.204823610617,99.57052255592723,319.7809538749819,27.91134319289239,0.24892630638981805,3.1989851746860074,51.76457152970051,4.946996466431095,95.0530035335689,100.0,8.333333333333332,0.7688152418323199,0.0,3600,98.70556832568494,99.9999977551235
sensor_failure,2,7,2299.1602863930098,97.49089553609933,317.3784653134241,30.506902760758486,0.24372723884024833,3.5867828030654025,50.854911488017194,3.180212014134275,96.81978798586573,100.0,8.333333333333332,0.7989159820196805,0.0,3600,98.70768150671348,99.99999861476773
communication_failure,0,8,2325.845876386735,96.91024484944731,310.2866935637944,22.374490595560147,0.24227561212361828,2.1299663994134654,50.195691243357,10.069444444444445,89.93055555555556,100.0,8.333333333333332,1.5774915304411525,0.0,3600,98.74768149586029,99.99999801060093
communication_failure,1,8,2354.5956190601537,98.10815079417307,319.7809538749819,28.272767230273487,0.24527037698543266,3.2649564496909735,52.12099064516325,11.458333333333332,88.54166666666666,100.0,8.333333333333332,0.7688152418323199,0.0,3600,98.70556832568494,99.9999977551235
communication_failure,2,8,2302.536678284254,95.93902826184392,317.3784653134241,31.365017695136697,0.2398475706546098,3.7495439146633425,50.4853980145044,9.375,90.625,100.0,8.333333333333332,0.7989159820196805,0.0,3600,98.70768150671348,99.99999861476773
mixed_conditions,0,9,1367.7863849523578,56.991099373014904,203.1689343968986,22.312482547887893,0.14247774843253727,2.3332825766183136,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,4.855158761556743,0.0,3600,97.72012231723643,99.99999421909101
mixed_conditions,1,9,1360.8606426835318,56.7025267784805,198.51291372757336,27.07530161542143,0.14175631694620125,3.2846525628546246,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,2.427757972753399,0.0,3600,97.81762936173699,99.99999325189967
mixed_conditions,2,9,1335.7403529059106,55.65584803774628,193.24716758349348,28.404552086869284,0.1391396200943657,3.477999023540012,50.592351154311146,3.125,96.875,100.0,8.333333333333332,1.4381052231293145,0.0,3600,97.71860692640176,99.9999958551866
